DATAFLOW,LAST UPDATE,freq,unit,schedule,tra_cov,tra_meas,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWG,2022-06,59041,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWG,2022-08,56778,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWG,2022-10,42873,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWG,2022-12,31439,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWG,2023-02,30672,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWG,2023-04,44501,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWG,2023-06,66942,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWG,2023-08,73812,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWI,2022-07,33668,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWI,2022-09,30991,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWI,2022-11,14256,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWI,2023-01,140966,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWI,2023-03,157279,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWI,2023-05,23040,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWI,2023-07,38330,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWK,2022-06,4248,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWK,2022-08,3564,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWK,2022-10,1332,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWK,2022-12,7547,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWK,2023-02,8764,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWK,2023-04,9569,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWK,2023-06,10461,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWK,2023-08,10854,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWL,2022-07,30648,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWL,2022-09,28479,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWL,2022-11,10667,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWL,2023-01,4396,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWL,2023-03,8813,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWL,2023-05,23309,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWL,2023-07,32728,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWS,2022-06,100779,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWS,2022-08,114558,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWS,2022-10,79411,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWS,2022-12,132029,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWS,2023-02,208277,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWS,2023-04,98291,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWS,2023-06,114525,
ESTAT:TTR00017(1.0),26/10/23 23:00:00,M,PAS,TOT,INTL,PAS_CRD,AT_LOWS,2023-08,138421,
